"row_num","treat","rep","inv_sp","res_sp","res_div","inv_t0","res_t0","inv_count","res_count","inv_m","res_m","rel_fit","res_sp2"
102,"17","f","s","a",1,26666.66667,2666666.667,493333333.333333,157333333.333333,9.82552601094142,4.07753744378072,2.40967155946731,"Aa"
103,"18","a","v","p",1,26666.66667,2666666.667,98666666.6666667,106666666.666667,8.21608809850732,3.68887945398894,2.22725849434384,"Pc"
104,"18","b","v","p",1,26666.66667,2666666.667,93333333.3333333,122666666.666667,8.1605182473525,3.8286413963641,2.13143969427438,"Pc"
105,"18","c","v","p",1,26666.66667,2666666.667,109333333.333333,1.2e+08,8.3187422525674,3.80666248964532,2.18531122083862,"Pc"
106,"18","d","v","p",1,26666.66667,2666666.667,114666666.666667,1.08e+08,8.36637030155665,3.70130197398749,2.26038576705034,"Pc"
107,"18","e","v","p",1,26666.66667,2666666.667,8.4e+07,110666666.666667,8.05515773169468,3.72569342711165,2.16205597408465,"Pc"
108,"18","f","v","p",1,26666.66667,2666666.667,9.6e+07,86666666.6666667,8.1886891243192,3.48124008921069,2.35223337502581,"Pc"
109,"19","a","s","p",1,26666.66667,2666666.667,682666666.666667,1.84e+08,10.1503476303427,4.23410650447226,2.3972820758338,"Pc"
110,"19","b","s","p",1,26666.66667,2666666.667,662666666.666667,8.4e+07,10.1206130313998,3.44998754570659,2.9335216134315,"Pc"
111,"19","c","s","p",1,26666.66667,2666666.667,562666666.666667,6.4e+07,9.95702831933916,3.17805383022295,3.13305842231145,"Pc"
112,"19","d","s","p",1,26666.66667,2666666.667,4.88e+08,1.64e+08,9.81465633870451,4.11903717468747,2.38275497949328,"Pc"
113,"19","e","s","p",1,26666.66667,2666666.667,557333333.333333,9.6e+07,9.9475044378279,3.58351893833111,2.77590396730555,"Pc"
114,"19","f","s","p",1,26666.66667,2666666.667,5.46e+08,9.2e+07,9.92695990859627,3.54095932391231,2.80346623627075,"Pc"
115,"20","a","s","v",1,26666.66667,2666666.667,505333333.333333,2.4e+07,9.84955921038557,2.19722457721122,4.48272757939333,"Vg"
116,"20","b","s","v",1,26666.66667,2666666.667,182666666.666667,14666666.6666667,8.83200393113127,1.70474809211343,5.18082640596006,"Vg"
117,"20","c","s","v",1,26666.66667,2666666.667,2.8e+08,3.6e+07,9.25913053602062,2.60268968531938,3.55752381401719,"Vg"
118,"20","d","s","v",1,26666.66667,2666666.667,390666666.666667,14666666.6666667,9.59219561432021,1.70474809211343,5.62675251475336,"Vg"
119,"20","e","s","v",1,26666.66667,2666666.667,3.52e+08,45333333.3333333,9.48797210844946,2.83321334393122,3.34883785888304,"Vg"
120,"20","f","s","v",1,26666.66667,2666666.667,266666666.666667,29333333.3333333,9.21034037185118,2.39789527267337,3.84101027130461,"Vg"
121,"21","a","o","ap",2,26666.66667,2666666.667,53333333.3333333,122666666.666667,7.60090245941708,3.8286413963641,1.98527406265715,"Aa Pc"
122,"21","b","o","ap",2,26666.66667,2666666.667,33333333.3333333,126666666.666667,7.13089883017135,3.8607297109156,1.84703394542484,"Aa Pc"
123,"21","c","o","ap",2,26666.66667,2666666.667,8.4e+07,1.72e+08,8.05515773169468,4.16666522367673,1.93323852512122,"Aa Pc"
124,"21","d","o","ap",2,26666.66667,2666666.667,33333333.3333333,114666666.666667,7.13089883017135,3.76120011556856,1.89591051022644,"Aa Pc"
125,"21","e","o","ap",2,26666.66667,2666666.667,57333333.3333333,1.44e+08,7.67322312099671,3.98898404643927,1.92360336157427,"Aa Pc"
126,"21","f","o","ap",2,26666.66667,2666666.667,46666666.6666667,118666666.666667,7.46737106679256,3.79548918904719,1.96743310146726,"Aa Pc"
127,"22","a","o","av",2,26666.66667,2666666.667,77333333.3333333,105333333.333333,7.97246601584957,3.67630067178208,2.16861098360188,"Aa Vg"
128,"22","b","o","av",2,26666.66667,2666666.667,97333333.3333333,81333333.3333333,8.20248244645154,3.41772668348837,2.39998197810233,"Aa Vg"
129,"22","c","o","av",2,26666.66667,2666666.667,7.2e+07,33333333.3333333,7.90100705186742,2.52572864418326,3.12820899032975,"Aa Vg"
130,"22","d","o","av",2,26666.66667,2666666.667,5.2e+07,17333333.3333333,7.57558465143279,1.87180217677659,4.04721436133738,"Aa Vg"
131,"22","e","o","av",2,26666.66667,2666666.667,106666666.666667,6e+07,8.29404963997703,3.11351530908537,2.66388593490279,"Aa Vg"
