ID,Rep,Sp,res.sp,inv.other,res.div,inv.div,count,T0_inv,count_other,T0_other,dil,dil_fact
t13,e,VG,PC.SR.OD,AA,3,2,42,13333.33333,506,2713333.333,10000,33.33333333
t13,f,VG,PC.SR.OD,AA,3,2,126,13333.33333,318,2713333.333,10000,33.33333333
t14,a,AA,PC.SR.VG,OD,3,2,42,13333.33333,485,2713333.333,10000,33.33333333
t14,b,AA,PC.SR.VG,OD,3,2,34,13333.33333,414,2713333.333,10000,33.33333333
t14,c,AA,PC.SR.VG,OD,3,2,16,13333.33333,436,2713333.333,10000,33.33333333
t14,d,AA,PC.SR.VG,OD,3,2,34,13333.33333,654,2713333.333,10000,33.33333333
t14,e,AA,PC.SR.VG,OD,3,2,16,13333.33333,524,2713333.333,10000,33.33333333
t14,f,AA,PC.SR.VG,OD,3,2,86,13333.33333,412,2713333.333,10000,33.33333333
t14,a,OD,PC.SR.VG,AA,3,2,94,13333.33333,492,2713333.333,10000,33.33333333
t14,b,OD,PC.SR.VG,AA,3,2,134,13333.33333,314,2713333.333,10000,33.33333333
t14,c,OD,PC.SR.VG,AA,3,2,94,13333.33333,358,2713333.333,10000,33.33333333
t14,d,OD,PC.SR.VG,AA,3,2,134,13333.33333,554,2713333.333,10000,33.33333333
t14,e,OD,PC.SR.VG,AA,3,2,106,13333.33333,434,2713333.333,10000,33.33333333
t14,f,OD,PC.SR.VG,AA,3,2,82,13333.33333,416,2713333.333,10000,33.33333333
t15,a,VG,PC.SR.AA,OD,3,2,44,13333.33333,232,2713333.333,10000,33.33333333
t15,b,VG,PC.SR.AA,OD,3,2,66,13333.33333,95,2713333.333,10000,33.33333333
t15,c,VG,PC.SR.AA,OD,3,2,72,13333.33333,260,2713333.333,10000,33.33333333
t15,d,VG,PC.SR.AA,OD,3,2,72,13333.33333,252,2713333.333,10000,33.33333333
t15,e,VG,PC.SR.AA,OD,3,2,40,13333.33333,299,2713333.333,10000,33.33333333
t15,f,VG,PC.SR.AA,OD,3,2,106,13333.33333,207,2713333.333,10000,33.33333333
t15,a,OD,PC.SR.AA,VG,3,2,80,13333.33333,196,2713333.333,10000,33.33333333
t15,b,OD,PC.SR.AA,VG,3,2,50,13333.33333,111,2713333.333,10000,33.33333333
t15,c,OD,PC.SR.AA,VG,3,2,54,13333.33333,278,2713333.333,10000,33.33333333
t15,d,OD,PC.SR.AA,VG,3,2,62,13333.33333,262,2713333.333,10000,33.33333333
t15,e,OD,PC.SR.AA,VG,3,2,114,13333.33333,225,2713333.333,10000,33.33333333
t15,f,OD,PC.SR.AA,VG,3,2,100,13333.33333,213,2713333.333,10000,33.33333333
t16,a,AA,PC.SR,VG.OD,2,3,48,8833.333333,756,2684333.333,10000,33.33333333
t16,b,AA,PC.SR,VG.OD,2,3,16,8833.333333,446,2684333.333,10000,33.33333333
t16,c,AA,PC.SR,VG.OD,2,3,36,8833.333333,582,2684333.333,10000,33.33333333
t16,d,AA,PC.SR,VG.OD,2,3,14,8833.333333,584,2684333.333,10000,33.33333333
t16,e,AA,PC.SR,VG.OD,2,3,36,8833.333333,444,2684333.333,10000,33.33333333
t16,f,AA,PC.SR,VG.OD,2,3,20,8833.333333,694,2684333.333,10000,33.33333333
t16,a,VG,PC.SR,AA.OD,2,3,30,8833.333333,774,2684333.333,10000,33.33333333
t16,b,VG,PC.SR,AA.OD,2,3,148,8833.333333,314,2684333.333,10000,33.33333333
t16,c,VG,PC.SR,AA.OD,2,3,258,8833.333333,360,2684333.333,10000,33.33333333
t16,d,VG,PC.SR,AA.OD,2,3,180,8833.333333,418,2684333.333,10000,33.33333333
t16,e,VG,PC.SR,AA.OD,2,3,160,8833.333333,320,2684333.333,10000,33.33333333
t16,f,VG,PC.SR,AA.OD,2,3,52,8833.333333,662,2684333.333,10000,33.33333333
t16,a,OD,PC.SR,AA.VG,2,3,108,8833.333333,696,2684333.333,10000,33.33333333
t16,b,OD,PC.SR,AA.VG,2,3,94,8833.333333,368,2684333.333,10000,33.33333333
t16,c,OD,PC.SR,AA.VG,2,3,118,8833.333333,500,2684333.333,10000,33.33333333
t16,d,OD,PC.SR,AA.VG,2,3,128,8833.333333,470,2684333.333,10000,33.33333333
t16,e,OD,PC.SR,AA.VG,2,3,110,8833.333333,370,2684333.333,10000,33.33333333
t16,f,OD,PC.SR,AA.VG,2,3,116,8833.333333,598,2684333.333,10000,33.33333333
